token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct
CBeUhnxR,CBeUhnxR...qnpump,3DaxuJuw...,2qAiKs7n...,2025-09-04 10:37:09,2025-09-06 03:35:49,364521223,364892354,371131,147520,1.7074074074074075,3653635.367189,15160241.07334,3653635.367189,1.3985467550000001,1.753033372,3.8278224684364194e-07,1.1563360790368907e-07,-0.9760637155274163,So111111,So111111,-69.79128241782779
6Ls94Gp8,6Ls94Gp8...QZpump,3hd9okwM...,5uYcTKS9...,2025-09-04 10:39:41,2025-09-04 12:28:56,364521611,364538124,16513,6555,0.07586805555555555,1380662.441839,1380662.441839,1380662.441839,0.485356626,0.451147887,3.515389506456914e-07,3.2676190307537076e-07,-0.03420873899999997,So111111,So111111,-7.048165651291627
HLxdqSmi,HLxdqSmi...JGEQcY,V1BFVabo...,3VjnEnRd...,2025-09-04 11:19:38,2025-09-04 13:04:35,364527643,364543552,15909,6297,0.07288194444444444,423798.3991,2141037.765094,423798.3991,0.3953134,0.694505483,9.327864400609058e-07,3.243779695635161e-07,-0.25784253579567334,So111111,So111111,-65.22484079610591
Bbq9nEcK,Bbq9nEcK...SXpump,5ZTBcM9b...,VEDLmrwc...,2025-09-04 12:43:18,2025-09-05 12:22:34,364540316,364754824,214508,85156,0.9856018518518519,1900057.001709,1900057.001709,1900057.001709,1.0162778810000002,2.658109272,5.34867048770596e-07,1.398962909854374e-06,1.641831391,So111111,So111111,161.55339220651598
7517epvh,7517epvh...UaYb19,wcXpkAag...,5VuBaUrp...,2025-09-04 12:48:07,2025-09-04 21:44:08,364541049,364622137,81088,32161,0.37223379629629627,2105896.510228,2105896.510228,2105896.510228,0.9293861880000001,0.077695821,4.4132566984470557e-07,3.689441557201121e-08,-0.851690367,So111111,So111111,-91.64009299867064
HHTCuueY,HHTCuueY...iMpump,466PQ6Ck...,38HHL67u...,2025-09-05 07:37:31,2025-09-05 08:48:29,364711797,364722506,10709,4258,0.04928240740740741,1269357.705,1269357.705,1269357.705,0.675094893,0.136744284,5.318397567059318e-07,1.0772714693530771e-07,-0.538350609,So111111,So111111,-79.74443512787765
6VxvxNFg,6VxvxNFg...Xwpump,2P6e4Bkz...,4kB1ceyy...,2025-09-05 07:39:20,2025-09-05 08:33:46,364712075,364720311,8236,3266,0.037800925925925925,2970885.323825,2970885.323825,2970885.323825,0.657410058,0.100011147,2.2128422552291175e-07,3.3663752080217e-08,-0.5573989109999999,So111111,So111111,-84.7870981310724
5gFPk7Pj,5gFPk7Pj...DRpump,5yYTnX7S...,2BpY2DhE...,2025-09-05 08:50:49,2025-09-05 11:30:36,364722866,364746935,24069,9587,0.11096064814814814,523903.07793,523903.07793,523903.07793,0.27964676099999997,0.047997658,5.337757550593438e-07,9.161552970760192e-08,-0.231649103,So111111,So111111,-82.83632614647018
E23MGvkL,E23MGvkL...Tmpump,2yCWQi8n...,32xSM2G9...,2025-09-05 14:41:37,2025-09-05 23:29:59,364775828,364855467,79639,31702,0.3669212962962963,2945811.792083,2945811.792083,2945811.792083,0.983000467,0.978624932,3.336942535303367e-07,3.322089125415609e-07,-0.004375534999999946,So111111,So111111,-0.4451203378726287
q29umWsh,q29umWsh...7Bpump,3q7GgPfp...,2dGrVNnE...,2025-09-07 14:23:42,2025-09-09 21:32:35,365204227,365698347,494120,198533,2.297835648148148,1067893.99272,1067893.99272,1067893.99272,0.34327055900000003,3.405666798,3.2144628712225093e-07,3.1891431370688123e-06,3.0623962390000004,So111111,So111111,892.1231835090174
2cxnk5oK,2cxnk5oK...pLpump,4H2c5dHq...,2QXkvWLp...,2025-09-09 21:38:50,2025-09-10 14:31:02,365699276,365850616,151340,60732,0.7029166666666666,2237360.58238,2397138.171975,2237360.58238,3.1841256599999994,0.212511909,1.423161597230284e-06,8.865234031332939e-08,-2.985778408247219,So111111,So111111,-93.77074673137176
9eYmXhRR,9eYmXhRR...Kopump,5pJCyzj5...,3qWCiypX...,2025-09-10 18:32:42,2025-09-12 18:00:33,365886715,366314316,427601,170871,1.977673611111111,1101484.31728,1101484.31728,1101484.31728,1.635343111,0.31782482,1.4846721694942587e-06,2.885423015234888e-07,-1.317518291,So111111,So111111,-80.56525154494017
9eYmXhRR,9eYmXhRR...Kopump,4fHtV6LP...,4yE63oWT...,2025-09-12 22:34:56,2025-09-12 23:09:18,366355945,366361171,5226,2062,0.02386574074074074,4609342.032654,4609342.032654,4609342.032654,0.6941903520000001,0.648017904,1.5060508573287502e-07,1.4058794062346457e-07,-0.046172448000000046,So111111,So111111,-6.651266164528891
2TYmnJhw,2TYmnJhw...zQpump,3rYr7pYF...,5GPt561M...,2025-09-12 18:01:25,2025-09-12 19:04:50,366314445,366324088,9643,3805,0.04403935185185185,3757644.078377,3757644.078377,3757644.078377,0.30526773599999996,0.193166422,8.123913005934587e-08,5.140625827537992e-08,-0.11210131399999992,So111111,So111111,-36.72229350827955
CikXy6Qv,CikXy6Qv...fSpump,2SjQgkeH...,4dxsbrwf...,2025-09-12 19:38:06,2025-09-12 20:52:07,366329123,366340348,11225,4441,0.05140046296296296,366597.206142,366597.206142,366597.206142,0.17553300000000002,0.03967793,4.788170696860358e-07,1.0823303979199151e-07,-0.13585507000000002,So111111,So111111,-77.39574325055688
78ekV1DC,78ekV1DC...L3pump,3ZQ2548p...,2nvH7eDK...,2025-09-12 23:12:54,2025-09-13 02:07:46,366361714,366388215,26501,10492,0.12143518518518519,2661183.016813,2661183.016813,2661183.016813,0.617894763,0.148900244,2.3218800026011856e-07,5.5952650779472156e-08,-0.46899451900000005,So111111,So111111,-75.9020058242507
J2eaKn35,J2eaKn35...q6pump,4XXgoTXj...,5Wp2s2JX...,2025-09-13 02:12:51,2025-09-15 20:37:25,366388984,366995308,606324,239074,2.7670601851851853,289322.305047,1056253.633672,289322.305047,0.150206654,47.511711757,5.191672103386537e-07,4.498134751198772e-05,12.863900492288426,So111111,So111111,8564.134909954408
GmmxAS2n,GmmxAS2n...Z8pump,3bz1TsTP...,3vCWMTpq...,2025-09-13 05:07:05,2025-09-13 23:44:00,366415501,366585516,170015,67015,0.775636574074074,1965514.160635,2639766.162319,1965514.160635,0.959358541,0.270484029,4.880954613372306e-07,1.0246514742896142e-07,-0.7579618427568232,So111111,So111111,-79.00715012832968
6W7yafQN,6W7yafQN...mtpump,4n4ZuZ1a...,2X3exchN...,2025-09-13 23:45:00,2025-09-14 00:37:15,366585671,366593597,7926,3135,0.036284722222222225,1026904.908604,1026904.908604,1026904.908604,0.337488375,0.187140515,3.286461795754683e-07,1.8223743350725966e-07,-0.15034786000000003,So111111,So111111,-44.54904854130161
Fzpo8vGJ,Fzpo8vGJ...Zupump,3kXyy5ux...,31Y2harm...,2025-09-14 00:38:15,2025-09-14 04:38:05,366593749,366630185,36436,14390,0.16655092592592594,139440.842221,895298.740935,139440.842221,0.197869016,3.805727979,1.4190176482611682e-06,4.250791166114575e-06,0.39486488430860306,So111111,So111111,199.55872439806495
GjSNRB7y,GjSNRB7y...sbpump,bVzHgV3Z...,5wwgvMet...,2025-09-14 23:24:26,2025-09-15 22:01:12,366801583,367008028,206445,81406,0.9421990740740741,1036887.264431,1267527.868709,1036887.264431,0.8835173430000001,0.19797608,8.520862135237403e-07,1.5619071176844593e-07,-0.7215651831448854,So111111,So111111,-81.66961167901889
Gc5hxBYZ,Gc5hxBYZ...UTpump,65Q4N8d8...,3cVdwkmS...,2025-09-15 22:17:07,2025-09-18 21:08:43,367010445,367656201,645756,255096,2.9525,543947.40265,543947.40265,543947.40265,2.2522577060000004,1.161301156,4.140579943993599e-06,2.1349511926013056e-06,-1.0909565500000005,So111111,So111111,-48.43835352827072
A7Gv2q3D,A7Gv2q3D...5apump,um7FUbpW...,xSbXLJQs...,2025-09-16 01:19:27,2025-09-16 02:08:21,367038141,367045536,7395,2934,0.03395833333333333,1887771.957146,1887771.957146,1887771.957146,0.978374182,0.573461591,5.182692635603829e-07,3.0377694129272877e-07,-0.40491259099999993,So111111,So111111,-41.386271065766934
AHsV45Ut,AHsV45Ut...ZFpump,2X6HRtei...,647FSdgS...,2025-09-16 01:30:19,2025-09-16 02:08:34,367039791,367045569,5778,2295,0.0265625,1319609.395618,1319609.395618,1319609.395618,0.680101815,0.390985367,5.153811554073502e-07,2.9628871111280133e-07,-0.289116448,So111111,So111111,-42.51075965736101
9dNALpzU,9dNALpzU...Copump,3Avx9CZD...,sQGzr7hq...,2025-09-17 01:08:31,2025-09-17 22:22:58,367255448,367448932,193484,76467,0.8850347222222222,1083130.246411,1083130.246411,1083130.246411,1.315135659,0.446335051,1.2141989971730181e-06,4.120788358361803e-07,-0.8688006080000001,So111111,So111111,-66.06167219742309
5PpWbYsD,5PpWbYsD...i3pump,2d8pvt1e...,2Bk2p8rA...,2025-09-17 22:23:44,2025-09-18 01:31:32,367449050,367477520,28470,11268,0.13041666666666665,1065303.078725,1065303.078725,1065303.078725,0.577725151,0.719338761,5.423105992441569e-07,6.75243294951269e-07,0.14161361000000003,So111111,So111111,24.512280580978207
Cs17bWs3,Cs17bWs3...Tqpump,3z5xWfYs...,3D97ywjA...,2025-09-18 02:34:33,2025-09-18 04:26:41,367487066,367504091,17025,6728,0.07787037037037037,979312.033296,979312.033296,979312.033296,0.25845286400000006,0.337531955,2.639126807521642e-07,3.446623175495894e-07,0.07907909099999995,So111111,So111111,30.597103772082757
7PzU4m13,7PzU4m13...nT1deV,48d38HdT...,2cexw7qU...,2025-09-18 04:01:17,2025-09-18 21:06:45,367500215,367655905,155690,61528,0.7121296296296297,1397990.388815,1397990.388815,1397990.388815,3.953162476,2.923430944,2.8277465336159282e-06,2.091166697131611e-06,-1.0297315319999998,So111111,So111111,-26.048297742670368
BZ7zLsVb,BZ7zLsVb...8Spump,4MXG4WHV...,PJpxJtNw...,2025-09-18 04:29:05,2025-09-18 18:32:38,367504450,367632543,128093,50613,0.5857986111111111,1053370.786516,1053370.786516,1053370.786516,0.606789421,2.107438204,5.760454236698003e-07,2.0006613349989554e-06,1.5006487830000002,So111111,So111111,247.30964830054285
CLZsPodC,CLZsPodC...owpump,2V6ztpPr...,3fVgB6Au...,2025-09-18 19:10:05,2025-09-18 20:46:49,367638215,367652883,14668,5804,0.06717592592592593,1136718.861007,1136718.861007,1136718.861007,0.585053236,0.397631838,5.146859580404175e-07,3.498066686847658e-07,-0.18742139799999993,So111111,So111111,-32.03493057852259
3xqp9yby,3xqp9yby...2Spump,3F2FyoLU...,4L7rK6ww...,2025-09-18 20:51:15,2025-09-18 21:07:09,367653558,367655965,2407,954,0.011041666666666667,994237.107138,994237.107138,994237.107138,0.776121475,1.072834557,7.806201050312181e-07,1.0790530239695536e-06,0.29671308199999996,So111111,So111111,38.230237347832684
7PUABzBA,7PUABzBA...swpump,4RsApBo9...,19EMaqss...,2025-09-18 21:10:15,2025-09-21 04:07:24,367656433,368156043,499610,197829,2.2896875,1164796.808775,1853856.983096,1164796.808775,5.671010871,0.829829605,4.868669649742705e-06,4.476233132148944e-07,-5.149620664233998,So111111,So111111,-90.80604466071034
HDwsiDFh,HDwsiDFh...HFpump,5CbBjL3m...,3qPQLDAv...,2025-09-21 00:02:20,2025-09-21 04:07:10,368118868,368156008,37140,14690,0.17002314814814815,1571873.935709,1571873.935709,1571873.935709,0.8769213770000001,0.569561202,5.57882764691598e-07,3.623453440260126e-07,-0.30736017500000007,So111111,So111111,-35.049912462106626
DnPA3vTm,DnPA3vTm...tjpump,5T2dnmav...,Gt4gpzU2...,2025-09-21 04:32:08,2025-09-23 21:31:07,368159789,368750261,590472,233939,2.7076273148148147,1619178.022646,1775116.86173,1619178.022646,1.317612591,1.29362381,8.137539989869718e-07,7.287541670576298e-07,-0.1376298597885944,So111111,So111111,-10.445396524644657
3rSKhRtr,3rSKhRtr...1epump,4BhasrAT...,tSMxNoZZ...,2025-09-22 01:40:55,2025-09-22 03:20:13,368352224,368367298,15074,5958,0.06895833333333333,1486828.055093,1486828.055093,1486828.055093,1.0585272639999999,1.276484795,7.119365688413714e-07,8.585288598957442e-07,0.21795753100000015,So111111,So111111,20.59063931677816
BCtJf5K5,BCtJf5K5...oEpump,ca9QxTh6...,2r6oYXeh...,2025-09-22 06:52:51,2025-09-22 15:15:50,368399576,368475896,76320,30179,0.3492939814814815,1932108.67368,1943911.137703,1932108.67368,1.196947942,0.061775437,6.195034256123013e-07,3.177894081773523e-08,-1.1355475748056902,So111111,So111111,-94.87025583654751
2yNvFD47,2yNvFD47...N7pump,6CwbGRmX...,5iDQZKw3...,2025-09-23 21:49:46,2025-09-23 23:16:49,368753061,368766258,13197,5223,0.06045138888888889,1504811.281381,1642116.158278,1504811.281381,1.193916397,0.60625053,7.933994194303988e-07,3.691885783742258e-07,-0.6383572593054515,So111111,So111111,-53.46750081575866
4KUCN58T,4KUCN58T...CZpump,4VVV9RZk...,4tDQVLNH...,2025-09-23 23:29:34,2025-09-24 00:48:56,368768190,368780178,11988,4762,0.05511574074074074,1205545.509342,1708227.316783,1205545.509342,1.3844872460000002,0.588422944,1.1484321705579316e-06,3.444640758398249e-07,-0.9692201262416571,So111111,So111111,-70.00570998699233
ELh6jxhN,ELh6jxhN...gVpump,5og8zV84...,48vFj7pA...,2025-09-24 00:28:03,2025-09-24 00:45:04,368777026,368779599,2573,1021,0.011817129629629629,2366751.869733,2366751.869733,2366751.869733,1.8545274409999999,0.061092966,7.835749343716434e-07,2.5812999994330654e-08,-1.7934344749999998,So111111,So111111,-96.70573944341004
EyEWSNx6,EyEWSNx6...WWpump,4TC3G7v4...,4Rk14Npc...,2025-09-25 01:51:08,2025-09-25 02:42:33,369007292,369015069,7777,3085,0.03570601851851852,1157630.7158,1157630.7158,1157630.7158,0.5905414840000001,0.411988233,5.101294185960646e-07,3.558891686070101e-07,-0.17855325100000005,So111111,So111111,-30.235513649367952
HBukB9DL,HBukB9DL...8tpump,BpULjwLn...,4jfgVmjv...,2025-09-26 05:54:29,2025-09-26 06:26:03,369262404,369267218,4814,1894,0.021921296296296296,1479890.201694,1479890.201694,1479890.201694,1.721943221,1.502278978,1.1635614716746735e-06,1.015128673924844e-06,-0.21966424299999998,So111111,So111111,-12.756764585561209
EfFvS8CX,EfFvS8CX...29pump,3JLoMHsM...,3ZHme5AY...,2025-09-26 06:31:22,2025-09-26 22:12:06,369268024,369410860,142836,56444,0.653287037037037,2656367.132752,2716938.319038,2656367.132752,1.5940276549999999,0.502116237,6.000780672770126e-07,1.8480958271359902e-07,-1.1031055536619832,So111111,So111111,-69.20241002104717
3Zwb6QzP,3Zwb6QzP...hhpump,44DVxQgm...,5eM6oQQc...,2025-09-27 03:22:27,2025-09-27 05:33:27,369457909,369477802,19893,7860,0.09097222222222222,371852.921232,371852.921232,371852.921232,0.166545318,0.20681928,4.478795472366128e-07,5.561857072811993e-07,0.040273962,So111111,So111111,24.181983909028304
8WHMgk4k,8WHMgk4k...1zpump,nkaHYJ1e...,17E1z9xC...,2025-09-27 06:15:36,2025-09-27 06:27:58,369484200,369486081,1881,742,0.008587962962962962,1011169.900058,1011169.900058,1011169.900058,1.2814618480000002,1.003066374,1.2673061647963379e-06,9.919859896368206e-07,-0.2783954740000001,So111111,So111111,-21.724835150925227
2D2RiS6P,2D2RiS6P...aUpump,3g9hqkoX...,36Zgy3WM...,2025-09-30 22:23:56,2025-09-30 23:16:25,370286284,370294251,7967,3149,0.03644675925925926,2195078.775003,2195078.775002,2195078.775002,0.596966851,0.424635573,2.719569146210637e-07,1.934488993451331e-07,-0.17233127799972803,So111111,So111111,-28.867813633391602
59UNz4Dg,59UNz4Dg...Zopump,5NwcWs8X...,3vF7Jxhm...,2025-09-30 23:18:10,2025-10-01 01:50:25,370294513,370317633,23120,9135,0.10572916666666667,1257176.381845,1257176.381845,1257176.381845,0.43658676699999993,0.585669533,3.4727566736441255e-07,4.658610688664755e-07,0.14908276600000012,So111111,So111111,34.147339605462705
HaRAM4gn,HaRAM4gn...A3pump,67BmVXAT...,65majCoF...,2025-10-02 01:13:30,2025-10-02 02:34:16,370530864,370543116,12252,4846,0.056087962962962964,386550.701456,386550.701456,386550.701456,0.5558328459999999,0.626881219,1.4379299892779237e-06,1.621730905257085e-06,0.07104837300000011,So111111,So111111,12.782327189062892
HaRAM4gn,HaRAM4gn...A3pump,8Y6zmrrX...,52uoeQGS...,2025-10-02 03:02:59,2025-10-07 18:56:27,370547490,371784621,1237131,489208,5.6621296296296295,1025101.853068,1025101.853068,1025101.853068,1.1619236579999999,0.025237823,1.1334714248369657e-06,2.461981989835097e-08,-1.1366858349999998,So111111,So111111,-97.82792760727142
Dr4eEBxP,Dr4eEBxP...Mupump,53YFVzrX...,3XvkCZry...,2025-10-17 03:59:34,2025-10-29 06:18:47,373825896,376454566,2628670,1045153,12.09667824074074,185419.300462,826818.717371,185419.300462,0.30002011500000003,0.029301526,1.618063029320329e-06,3.5438876000737876e-08,-0.29344906340278365,So111111,So111111,-97.80979632075123
FrMU7uzw,FrMU7uzw...cKoDua,3N54CQ6X...,2iTqYggj...,2025-10-29 06:21:21,2025-10-31 20:52:42,376454948,377017451,562503,225081,2.6051041666666666,53205.639797,53205.639797,53205.639797,0.043298544,0.065774499,8.137961344925202e-07,1.2362317087240194e-06,0.022475955,So111111,So111111,51.90926281493438
FDgSegox,FDgSegox...BPpump,2vnNDBSg...,55F89obq...,2025-10-31 20:53:47,2025-11-02 02:10:06,377017613,377279648,262035,105379,1.219664351851852,174428.745857,174428.745857,174428.745857,0.067025395,0.095758686,3.84256589535699e-07,5.489845468389985e-07,0.028733290999999984,So111111,So111111,42.869260225918815
79yFa7nz,79yFa7nz...yzpump,P4b2n2Le...,2VdY2L1y...,2025-11-02 02:10:51,2025-11-02 20:24:25,377279756,377443689,163933,65614,0.7594212962962963,1971954.425941,1971954.425941,1971954.425941,0.255704131,0.272284968,1.2967040598718713e-07,1.380787326614143e-07,0.01658083700000001,So111111,So111111,6.484383703601582
37gezyen,37gezyen...EWpump,5pEgQpWs...,2cH3cx9S...,2025-11-02 20:29:58,2025-11-03 00:59:39,377444523,377484890,40367,16181,0.1872800925925926,1078167.115902,1078167.115902,1078167.115902,0.261622966,0.202366992,2.4265530096521715e-07,1.8769538508016797e-07,-0.059255973999999996,So111111,So111111,-22.649377807298464
FxUniKYR,FxUniKYR...Aepump,5GTvpTrY...,W7MSziqo...,2025-11-03 03:14:18,2025-11-04 06:01:16,377505062,377745535,240473,96418,1.115949074074074,330633.162505,330633.162505,330633.162505,0.196070134,0.269088363,5.930141202851512e-07,8.138577538964522e-07,0.073018229,So111111,So111111,37.24087269711358
F57RRhwD,F57RRhwD...a8pump,4t6BV5MV...,4XP4u9b5...,2025-11-04 06:02:08,2025-11-09 02:33:06,377745667,378792814,1047147,419458,4.8548379629629625,182629.870129,189790.629169,182629.870129,0.25979777400000004,0.054425065,1.4225371447534445e-06,2.8676371029644953e-07,-0.20742615483084928,So111111,So111111,-79.84139033879838
