token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct,num_sells,largest_sell_pct
EDRWmJsh,EDRWmJsh...6hpump,594YZc5E...,2e6uY5WC...,2025-11-03 12:52:50,2025-11-03 13:21:38,377591637,377595948,4311,1728,0.02,2326213.435343,14779449.715739,2326213.435343,0.6808670549999999,2.361427162,2.926932862889282e-07,1.5977774595256128e-07,-0.3091899156963312,So111111,So111111,-45.411202293571286,4,32.952917159850514
BVSv98vy,BVSv98vy...tYpump,3rSaghQY...,5WZAbd8d...,2025-11-03 14:05:36,2025-11-03 13:41:11,377602538,377598869,-3669,-1465,-0.01695601851851852,3914996.608895,540483.978753,540483.978753,3.614158278,0.387696308,9.23157447898809e-07,7.173132289591443e-07,-0.11125550245581362,So111111,So111111,-22.297845227613667,7,44.41238303843245
BVSv98vy,BVSv98vy...tYpump,3FBqiBCd...,qm2Nm2Ab...,2025-11-03 14:05:38,2025-11-03 13:42:28,377602541,377599059,-3482,-1390,-0.016087962962962964,2928704.663426,1026919.559631,1026919.559631,3.231566698,0.969331279,1.1034115997956965e-06,9.439213324053414e-07,-0.1637836751539339,So111111,So111111,-14.454285909255049,7,44.41238303843245
BVSv98vy,BVSv98vy...tYpump,5NKhER6D...,5J32CCAk...,2025-11-03 14:06:00,2025-11-03 13:42:30,377602599,377599063,-3536,-1410,-0.016319444444444445,330616.577971,462113.801834,330616.577971,0.32976655099999996,0.427700317,9.974289644632563e-07,9.255302812912696e-07,-0.02377089659094338,So111111,So111111,-7.208401373292517,7,44.41238303843245
BVSv98vy,BVSv98vy...tYpump,2bdNYp3W...,3j8P2Tm5...,2025-11-03 20:51:44,2025-11-03 13:42:31,377663297,377599067,-64230,-25753,-0.2980671296296296,1462203.304096,439008.111742,439008.111742,0.9248109750000001,0.394152352,6.324776947291608e-07,8.978247587179864e-07,0.116489513518018,So111111,So111111,41.95358448212985,7,44.41238303843245
3zWamrcm,3zWamrcm...EHpump,3P6j872r...,4fouoMJE...,2025-11-04 04:30:12,2025-11-04 04:45:42,377731911,377734234,2323,930,0.010763888888888889,3648519.200339,3648519.200339,3648519.200339,1.931423256,1.443695682,5.293718218121321e-07,3.956935958746934e-07,-0.4877275740000001,So111111,So111111,-25.252236788848116,1,100.0
CCqh8dh7,CCqh8dh7...eHpump,SbALSnGq...,2zxBM9Kv...,2025-11-04 05:24:04,2025-11-04 06:06:19,377739992,377746290,6298,2535,0.029340277777777778,2484139.127163,5224172.092412,2484139.127163,1.52075805,2.685841615,6.121871490091519e-07,5.141181353694548e-07,-0.2436170739446534,So111111,So111111,-16.019449901623297,1,100.0
CkQ4sX8d,CkQ4sX8d...Avpump,3cu3wGDL...,kjeiDFZE...,2025-11-04 06:06:31,2025-11-04 06:07:00,377746321,377746394,73,29,0.0003356481481481481,6655845.608985,6655845.608985,6655845.608985,0.61170943,0.561956036,9.190559185661222e-08,8.443044941448047e-08,-0.049753394000000006,So111111,So111111,-8.133501227862382,1,100.0
7gDuVYA3,7gDuVYA3...21pump,5ZYNY6UU...,2v5KA68q...,2025-11-05 11:11:14,2025-11-05 11:13:45,378007362,378007734,372,151,0.0017476851851851852,1858878.874477,10085891.483869,1858878.874477,0.716980727,1.698147571,3.857059956107814e-07,1.6836861408988528e-07,-0.4040038671433417,So111111,So111111,-56.347939620884915,1,100.0
42TCQRW8,42TCQRW8...dLfRnP,38UUkhb4...,2RXg5HFx...,2025-11-05 11:13:48,2025-11-05 11:16:22,378007743,378008132,389,154,0.0017824074074074075,7695505.628179,24073281.431153,7695505.628179,4.688137896,9.986931862,6.092046608130883e-07,4.148554442219086e-07,-1.495615490109603,So111111,So111111,-31.902122405266454,1,100.0
3is9dUus,3is9dUus...sypump,3Cy2e1Jt...,5JG31fg3...,2025-11-06 10:17:42,2025-11-06 10:19:52,378214972,378215301,329,130,0.0015046296296296296,6110194.721175,6110194.721175,6110194.721175,2.4053154830000003,1.076414561,3.936561096268065e-07,1.7616698159711082e-07,-1.3289009220000003,So111111,So111111,-55.248508205773696,1,100.0
65aP2yHM,65aP2yHM...1gpump,5BhrP848...,46AkyyBP...,2025-11-07 11:03:06,2025-11-07 11:04:03,378437646,378437790,144,57,0.0006597222222222222,1216808.50339,1216808.50339,1216808.50339,2.6640413759999997,2.323309581,2.1893678163639085e-06,1.9093469305378078e-06,-0.3407317949999997,So111111,So111111,-12.790033896230291,1,100.0
5C3zbGsH,5C3zbGsH...sFpump,2hJqNZbU...,2G1EUSt2...,2025-11-08 04:34:52,2025-11-08 04:36:30,378595186,378595428,242,98,0.0011342592592592593,3375186.375381,13887653.11016,3375186.375381,1.039250718,4.573989862,3.0790913520521855e-07,3.293565749171642e-07,0.07238910630256433,So111111,So111111,6.9655093856345385,2,79.80536372020963
5C3zbGsH,5C3zbGsH...sFpump,42rMjpZc...,2QTcTpYE...,2025-11-08 04:34:54,2025-11-08 04:36:46,378595192,378595470,278,112,0.0012962962962962963,5878070.435897,3514251.30174,3514251.30174,1.5129387799999998,1.546686133,2.573869769849268e-07,4.401182500051132e-07,0.6421636140797976,So111111,So111111,70.99476250147949,2,79.80536372020963
37kNcpW8,37kNcpW8...iHpump,5E6XmJWi...,3wJZrDr1...,2025-11-08 05:53:36,2025-11-08 06:06:06,378606999,378608868,1869,750,0.008680555555555556,2840214.063384,1506785.162554,1506785.162554,4.7164962269999995,2.708426518,1.660612940343125e-06,1.7974868516817743e-06,0.2062395787458085,So111111,So111111,8.242372922275765,4,50.12210590414434
37kNcpW8,37kNcpW8...iHpump,7xgwduBq...,23WhXBw7...,2025-11-08 05:53:37,2025-11-08 06:06:12,378607001,378608885,1884,755,0.008738425925925926,3186926.586834,1130088.871916,1130088.871916,5.336373275,1.944871814,1.6744575469814422e-06,1.7209901471754013e-06,0.05258597366050948,So111111,So111111,2.778965658331778,4,50.12210590414434
FPRDDKfM,FPRDDKfM...1qpump,538NjXsE...,5R4syuuf...,2025-11-08 06:44:22,2025-11-08 06:45:11,378614579,378614704,125,49,0.0005671296296296297,4940100.858244,5671133.270657,4940100.858244,1.6072980749999999,1.710721565,3.253573400870458e-07,3.016542696768283e-07,-0.1170955584765333,So111111,So111111,-7.2852422520653715,1,100.0
6GtndLHj,6GtndLHj...v1pump,5oEEoFQx...,2Rv2oFdC...,2025-11-08 07:14:36,2025-11-08 07:16:25,378619071,378619340,269,109,0.001261574074074074,8034738.909585,15356115.659687,8034738.909585,2.3912297220000003,2.59961362,2.976113784042684e-07,1.6928848919942216e-07,-1.031040910884543,So111111,So111111,-43.11760185141019,1,100.0
8MtUJG2G,8MtUJG2G...tZGvmi,22Ve8zUA...,4QUMcCQV...,2025-11-08 07:25:32,2025-11-08 07:26:04,378620724,378620804,80,32,0.00037037037037037035,2890678.208434,14800657.757882,2890678.208434,0.46872400999999997,1.34855914,1.6215018628930238e-07,9.111481138612458e-08,-0.20534041026055552,So111111,So111111,-43.80838315932558,2,66.49914392402536
8MtUJG2G,8MtUJG2G...tZGvmi,3yB8rCUu...,3bN3uD8Y...,2025-11-08 07:30:02,2025-11-08 07:31:19,378621397,378621589,192,77,0.0008912037037037037,7456256.96991,7456256.96991,7456256.96991,2.6530826029999997,1.305062576,3.558196309095317e-07,1.750291843838843e-07,-1.3480200269999996,So111111,So111111,-50.809576206775944,2,66.49914392402536
6SsVcT7t,6SsVcT7t...axsUca,51BAnLWt...,57MrVgRZ...,2025-11-08 08:36:34,2025-11-08 08:45:45,378631330,378632715,1385,551,0.006377314814814815,3455962.715459,18170925.004289,3455962.715459,0.514970704,2.391983689,1.490093344168514e-07,1.316379704630009e-07,-0.06003478614117584,So111111,So111111,-11.657903192329133,1,100.0
3wppuwUM,3wppuwUM...ZUpump,5xDfyjDZ...,4QH3Wtyq...,2025-11-08 10:22:39,2025-11-08 10:39:48,378647256,378649807,2551,1029,0.011909722222222223,5248073.77,3182473.108901,3182473.108901,2.515972846,6.584743716,4.794088185997432e-07,2.069064997779008e-06,5.05903804263632,So111111,So111111,331.5867621756168,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,58kUmEiN...,5mQ3Krm1...,2025-11-08 10:22:43,2025-11-08 10:41:03,378647265,378649999,2734,1100,0.01273148148148148,3043979.644115,2386854.831676,2386854.831676,1.4424040489999999,4.092282681,4.7385469603538074e-07,1.714508409431203e-06,2.9612603102555894,So111111,So111111,261.82155073613285,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,4rwD4YzT...,3zYKy38K...,2025-11-08 10:22:50,2025-11-08 10:41:15,378647284,378650029,2745,1105,0.012789351851851852,1883270.670721,1790141.123757,1790141.123757,0.9438447740000001,3.005492862,5.011731922945809e-07,1.6789139258989372e-06,2.108322120348896,So111111,So111111,234.99675395887908,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,58s8Fhd7...,4bsqQxdC...,2025-11-08 10:23:35,2025-11-08 10:41:18,378647391,378650038,2647,1063,0.012303240740740741,2034267.284071,268521.168563,268521.168563,0.899976063,0.458876877,4.4240797167959026e-07,1.708903917913418e-06,0.34008097146300986,So111111,So111111,286.27331045270483,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,4sZun8cp...,3yGWHnsc...,2025-11-08 10:23:38,2025-11-08 10:41:29,378647397,378650065,2668,1071,0.012395833333333333,520301.066698,1275475.550677,520301.066698,0.244130987,2.275654936,4.692110061379169e-07,1.784161942416005e-06,0.684170374801023,So111111,So111111,280.24724890864553,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,WCC93pCr...,NN7DZASh...,2025-11-08 11:18:07,2025-11-08 10:41:30,378655533,378650068,-5465,-2197,-0.02542824074074074,536788.164215,956606.663007,536788.164215,4.669827725999999,1.635384166,8.699572824652652e-06,1.709568027531116e-06,-3.7521518429009126,So111111,So111111,-80.34882790237032,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,5bhDjvVL...,3V798QoC...,2025-11-08 11:18:08,2025-11-08 10:41:34,378655536,378650076,-5460,-2194,-0.02539351851851852,539781.74189,1434909.994512,539781.74189,4.93619875,2.340595761,9.144804958975306e-06,1.6311794955446079e-06,-4.05571784055968,So111111,So111111,-82.16277435262671,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,4GsezfJ3...,5TA3FVq2...,2025-11-08 11:18:09,2025-11-08 10:44:03,378655538,378650448,-5090,-2046,-0.023680555555555555,506618.011156,1434909.994512,506618.011156,4.535899191,3.315945889,8.953292403975126e-06,2.3109086295881043e-06,-3.365151257114838,So111111,So111111,-74.18928674146623,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,4vR3aoxe...,12wqLHUP...,2025-11-08 11:18:10,2025-11-08 12:19:15,378655541,378664699,9158,3665,0.04241898148148148,578814.912767,624942.763798,578814.912767,5.340479097,8.821431153,9.226574815548666e-06,1.4115582520531988e-05,2.8298305682771128,So111111,So111111,52.988327767573566,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,3AW6R1Q4...,3pFLojuN...,2025-11-08 11:18:15,2025-11-08 12:19:16,378655552,378664701,9149,3661,0.04237268518518519,101400.672974,468707.072849,101400.672974,0.940880064,6.503502851,9.278834512678724e-06,1.387541009669207e-05,0.4660958575948104,So111111,So111111,49.53828606095436,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,3oCYqvrG...,4Abk3TQU...,2025-11-08 11:18:16,2025-11-08 12:19:17,378655555,378664703,9148,3661,0.04237268518518519,115241.15821,351530.304637,115241.15821,1.0540013240000001,4.669080902,9.146049383496561e-06,1.3282157584739168e-05,0.47664989959307774,So111111,So111111,45.22289381802311,16,20.896542532430097
3wppuwUM,3wppuwUM...ZUpump,4Ec67foz...,ACDQKDav...,2025-11-08 11:18:17,2025-11-08 12:19:24,378655557,378664721,9164,3667,0.04244212962962963,121126.393983,52729.545695,52729.545695,1.0816126830000001,0.755970774,8.929620105357083e-06,1.4336758719157405e-05,0.285115962615583,So111111,So111111,60.55284043445985,16,20.896542532430097
5v3PVWzX,5v3PVWzX...5Zpump,66JtjN4y...,4LeJf39w...,2025-11-08 23:00:03,2025-11-08 23:00:21,378760791,378760836,45,18,0.00020833333333333335,3466804.103994,3466804.103994,3466804.103994,2.681441206,2.490515969,7.734619913801282e-07,7.183895871505264e-07,-0.19092523700000003,So111111,So111111,-7.120246998993873,1,100.0
GhqGTPns,GhqGTPns...3Upump,5TPAKnZF...,5mgB5YJc...,2025-11-09 02:42:48,2025-11-09 02:52:17,378794255,378795678,1423,569,0.006585648148148148,4309055.197529,4537886.098599,4309055.197529,4.598100883,7.065193592,1.0670786685760608e-06,1.5569349777600778e-06,2.1108178751317617,So111111,So111111,45.9062975963801,1,100.0
